민진, 169, 64
영영, 152, 40
진욱, 170, 70
경욱, 182, 97
상은, 161, 43
민영, 170, 76
예건, 162, 41
진수, 159, 70
건예, 195, 82
영경, 158, 51
영진, 175, 43
영섭, 176, 98
철철, 159, 60
욱채, 175, 50
수채, 181, 87
건은, 159, 79
욱예, 182, 76
채영, 159, 70
영건, 167, 46
상섭, 158, 97
섭건, 179, 57
민상, 157, 90
예섭, 172, 81
영수, 196, 64
영진, 188, 76
경진, 159, 58
욱채, 158, 97
은예, 175, 42
수경, 174, 79
진민, 166, 70
상철, 172, 99
상진, 168, 96
욱진, 180, 55
섭섭, 162, 51
수섭, 177, 41
철예, 165, 78
수은, 169, 75
욱수, 156, 85
철경, 153, 86
상영, 194, 79
수건, 163, 85
진상, 167, 95
은철, 173, 94
민건, 176, 82
수영, 152, 82
영섭, 198, 55
섭건, 163, 89
예섭, 195, 68
철욱, 177, 62
섭수, 150, 99
수경, 186, 69
경수, 173, 91
진욱, 191, 90
진은, 187, 98
건욱, 150, 61
섭상, 178, 60
경섭, 167, 44
욱섭, 193, 56
민은, 189, 79
영경, 168, 99
은예, 182, 94
경건, 171, 82
건욱, 168, 56
영민, 195, 75
영경, 193, 86
욱수, 162, 53
욱은, 164, 56
철철, 189, 62
예건, 198, 47
영채, 192, 91
진수, 157, 42
진경, 178, 52
건은, 179, 74
욱상, 177, 92
진경, 197, 82
철상, 166, 56
건예, 191, 41
예철, 193, 77
상영, 193, 76
수예, 156, 95
경건, 152, 57
욱욱, 170, 53
섭예, 169, 94
수채, 174, 46
채상, 150, 46
영건, 159, 98
경은, 155, 43
수철, 177, 41
채민, 168, 54
경철, 193, 91
욱상, 186, 70
수채, 170, 82
건예, 150, 56
예수, 185, 80
수경, 195, 45
채섭, 162, 49
진건, 167, 90
섭민, 198, 91
상섭, 168, 81
상수, 193, 77
예상, 183, 45
채예, 186, 95
건건, 165, 82
영섭, 184, 58
건수, 194, 98
진예, 158, 45
철상, 158, 70
섭수, 155, 92
진민, 156, 43
은섭, 198, 52
민진, 198, 89
섭민, 152, 50
예욱, 189, 88
상예, 193, 63
건철, 185, 62
섭은, 189, 50
철은, 159, 93
영수, 191, 49
경섭, 156, 80
건상, 182, 85
경영, 155, 89
욱상, 157, 50
욱진, 154, 95
예건, 161, 78
은은, 159, 70
진철, 165, 87
상민, 181, 67
진욱, 196, 54
예섭, 167, 60
욱경, 194, 54
수진, 189, 47
민건, 177, 69
채예, 150, 90
예진, 171, 84
채경, 157, 74
상채, 199, 92
경수, 173, 83
철욱, 182, 98
섭진, 194, 89
채은, 180, 64
영채, 172, 45
은상, 177, 84
민욱, 158, 41
철영, 184, 55
은건, 182, 67
영경, 189, 46
진민, 157, 51
채진, 189, 75
예진, 155, 76
민채, 157, 84
건은, 165, 51
은욱, 168, 59
욱건, 196, 71
섭은, 183, 46
철진, 158, 58
진경, 181, 68
섭채, 174, 94
영철, 191, 81
수상, 191, 63
채욱, 151, 42
욱예, 170, 48
수철, 158, 90
욱수, 156, 46
건채, 189, 41
채건, 177, 48
수건, 160, 49
상은, 191, 48
섭경, 196, 51
건경, 188, 80
건철, 196, 60
진욱, 169, 67
경예, 199, 76
민철, 161, 69
철은, 154, 62
예욱, 196, 92
철수, 183, 40
예섭, 177, 69
욱욱, 171, 92
은진, 176, 58
영진, 156, 65
상수, 162, 57
섭상, 171, 85
건예, 188, 46
영영, 156, 73
섭섭, 162, 43
수철, 165, 73
경경, 170, 70
진영, 181, 80
진건, 176, 90
섭철, 150, 42
예상, 151, 49
상철, 161, 94
철채, 170, 43
경경, 168, 55
상수, 192, 77
욱예, 181, 64
섭민, 179, 63
영욱, 176, 88
상예, 163, 41
수욱, 177, 98
수욱, 158, 90
건상, 169, 96
채경, 178, 59
영은, 179, 63
철경, 194, 76
진예, 151, 73
민욱, 187, 63
진민, 156, 64
철철, 198, 42
은채, 191, 75
철건, 177, 51
욱섭, 150, 95
섭진, 156, 51
예섭, 164, 53
욱채, 191, 65
철건, 193, 99
민상, 168, 87
진민, 181, 64
진채, 158, 65
채예, 173, 41
예욱, 165, 90
욱섭, 158, 66
상수, 181, 69
건영, 155, 74
민채, 185, 57
민영, 160, 41
예영, 179, 50
민채, 158, 69
경진, 187, 61
욱수, 193, 62
상경, 197, 92
상수, 166, 43
욱민, 192, 77
예경, 175, 40
진욱, 163, 99
섭욱, 152, 56
민예, 161, 76
진건, 196, 96
예은, 156, 69
채수, 171, 80
수철, 162, 43
섭수, 197, 49
예영, 171, 97
채은, 180, 83
예수, 171, 49
건경, 190, 45
채욱, 165, 69
건철, 199, 63
민진, 163, 46
은진, 186, 56
은채, 199, 41
경채, 191, 52
섭상, 172, 79
철영, 182, 70
채은, 190, 95
영채, 179, 94
철섭, 199, 67
섭예, 177, 94
진민, 181, 95
민예, 176, 60
진은, 161, 46
건건, 184, 95
진영, 197, 46
진건, 188, 61
진건, 165, 96
진예, 168, 96
철상, 150, 57
건섭, 164, 66
영섭, 184, 58
철욱, 175, 71
영영, 173, 45
영수, 189, 78
욱섭, 176, 94
예섭, 159, 59
섭섭, 194, 58
영은, 169, 77
철채, 152, 89
채예, 179, 58
채욱, 181, 92
경철, 161, 52
수민, 173, 55
예예, 164, 51
건진, 175, 98
채채, 178, 72
예예, 164, 94
민경, 158, 91
상경, 161, 84
상진, 165, 54
진영, 156, 77
수예, 182, 78
은민, 193, 72
철진, 180, 54
영섭, 170, 49
수민, 185, 84
상은, 167, 80
진수, 179, 94
철영, 162, 63
철경, 159, 90
채욱, 199, 43
진상, 197, 61
욱은, 186, 44
섭섭, 155, 66
건예, 169, 93
은은, 181, 55
민수, 160, 42
욱욱, 169, 53
진진, 177, 71
상예, 154, 56
영욱, 175, 56
상섭, 160, 98
진은, 169, 99
건건, 186, 93
민철, 188, 73
섭경, 174, 68
채예, 163, 55
영영, 157, 63
예진, 176, 78
채경, 192, 55
상진, 161, 62
채수, 156, 66
수은, 194, 73
욱상, 181, 90
은은, 170, 90
